id,titulo,autor,precio,editorialId
12, El mago de Oz, Baum Frank, 300.0, PENGUIN BOOKS
22, Alicia En El Pais De Las Maravillas, Carroll Lewis, 300.0, PENGUIN BOOKS
6, Las aventuras de pinocho, Collodi Carlo, 300.0, PENGUIN BOOKS
3, Como programar en Java, Deitel & Deitel, 1000.0, PEARSON
9, Como programar en C++, Deitel & Deitel, 1000.0, PEARSON
8, Matematica... ¿estas ahi? Episodio 2, Paenza, 135.0, SIGLO XXI EDITORES
14, Matematica... ¿estas ahi? Episodio 3.14, Paenza, 350.0, SIGLO XXI EDITORES
2, Matematica... ¿estas ahi?, Paenza, 350.0, SIGLO XXI EDITORES
13, La vida por la patria, Pigna, 250.0, PLANETA
7, La voz del gran jefe, Pigna, 400.0, PLANETA
18, Libertadores de America, Pigna, 400.0, PLANETA
19, Matematica... ¿estas ahi? Episodio 100, Pigna, 135.0, SIGLO XXI EDITORES
1, Manuel Belgrano, Pigna, 248.0, PLANETA
23, Los mitos de la historia argentina 1, Pigna, 400.0, PLANETA
25, Los mitos de la historia argentina 2, Pigna, 360.0, PLANETA
27, Los mitos de la historia argentina 3, Pigna, 300.0, PLANETA
29, Los mitos de la historia argentina 4, Pigna, 250.0, PLANETA
30, Los mitos de la historia argentina 5, Pigna, 270.0, PLANETA
24, Harry Potter y la Orden del Fenix, Rowling, 800.0, SALAMDRA
5, Harry Potter Y La Piedra Filosofal, Rowling, 800.0, SALAMDRA
26, Harry Potter y el misterio del principe, Rowling, 800.0, SALAMDRA
21, Harry Potter y el cáliz de fuego, Rowling, 800.0, SALAMDRA
28, Harry Potter y las Reliquias de la Muerte, Rowling, 800.0, SALAMDRA
16, Harry Potter y el prisionero de Azkaban, Rowling, 800.0, SALAMDRA
11, Harry Potter y la camara secreta, Rowling, 800.0, SALAMDRA
17, Los Viajes De Gulliver, Swift Jonathan, 300.0, PENGUIN BOOKS
4, El señor de los anillos - La comunidad del anillo, Tolkien, 800.0, MINOTAURO
20, El hobbit, Tolkien, 800.0, MINOTAURO
10, El señor de los anillos - Las dos torres, Tolkien, 800.0, MINOTAURO
15, El señor de los anillos - El retorno del rey, Tolkien, 800.0, MINOTAURO
